Index,Sigma,Freq,Ratio_SF,True_Thickness,Pred_Thickness,Error_Abs,Ratio_Category,Thick_Category
0,-4.583865e-10,6.7999997,-6.740978156564928e-11,2.0000003047648285,1.9751416,0.024858660286984247,低比值 (容性主导),薄环流
1,0.08,16.4,0.004878048784622594,10.000000026922422,9.946626,0.05337431738873022,中比值 (过渡区),中等环流
2,0.08,2.6000001,0.030769228376737692,4.000000183988009,3.6672287,0.3327714852575401,高比值 (阻性主导),薄环流
3,0.04,19.8,0.0020202020527879784,18.000000159609748,17.87871,0.12129036651892733,低比值 (容性主导),厚环流
4,0.06,11.4,0.005263157952751557,23.999999797279294,23.7083,0.2917001604384737,中比值 (过渡区),厚环流
5,0.08,6.7999997,0.011764706112647847,13.99999999063365,14.035046,0.03504563314564635,高比值 (阻性主导),中等环流
6,0.02,6.0,0.003333333258271972,6.00000006321119,5.563502,0.4364982283418053,低比值 (容性主导),薄环流
7,0.02,19.6,0.0010204081205454057,2.0000003047648285,1.9032661,0.09673423249157409,低比值 (容性主导),薄环流
8,0.08,4.4,0.018181817377210367,4.000000183988009,4.0672703,0.06727009494265523,高比值 (阻性主导),薄环流
9,-4.583865e-10,6.7999997,-6.740978156564928e-11,12.000000008778036,11.845687,0.15431309624141498,低比值 (容性主导),中等环流
10,0.12,0.40000024,0.2999998092603118,6.00000006321119,7.5680757,1.568075593679679,高比值 (阻性主导),薄环流
11,0.04,15.6,0.002564102443925562,13.99999999063365,13.90482,0.0951795484339435,低比值 (容性主导),中等环流
12,0.02,0.7999999,0.02500000276271809,12.000000008778036,12.360347,0.3603467853503819,高比值 (阻性主导),中等环流
13,0.06,16.6,0.0036144576672575215,2.0000003047648285,1.8673726,0.13262767273815612,低比值 (容性主导),薄环流
14,0.12,14.6,0.00821917768316468,13.99999999063365,13.866601,0.13339900033824037,中比值 (过渡区),中等环流
15,0.08,8.4,0.009523809742307375,18.000000159609748,17.803131,0.19686905609412264,高比值 (阻性主导),厚环流
16,0.12,14.6,0.00821917768316468,6.00000006321119,6.006482,0.006482061117423221,中比值 (过渡区),薄环流
17,-4.583865e-10,4.6,-9.96492401807336e-11,21.999999918056112,22.832523,0.8325234278911537,低比值 (容性主导),厚环流
18,0.08,7.2,0.01111111115555914,20.00000003883293,19.823832,0.1761684806053907,高比值 (阻性主导),厚环流
19,0.06,17.6,0.0034090907588080386,21.999999918056112,22.245615,0.24561508743705218,低比值 (容性主导),厚环流
20,-4.583865e-10,3.8,-1.20628026594499e-10,7.999999942434371,7.7965755,0.20342439616972285,低比值 (容性主导),薄环流
21,0.08,12.8,0.006249999766681079,4.000000183988009,3.7658548,0.23414534847775492,中比值 (过渡区),薄环流
22,-4.583865e-10,13.4,-3.4207948391255256e-11,16.0000000751217,16.18583,0.1858290874759554,低比值 (容性主导),中等环流
23,0.04,19.6,0.0020408162410908114,10.000000026922422,9.749167,0.2508325846006443,低比值 (容性主导),中等环流
24,0.06,12.4,0.004838709717732101,4.000000183988009,3.7319927,0.26800746243039164,中比值 (过渡区),薄环流
25,-4.583865e-10,4.4,-1.041787466791576e-10,6.00000006321119,5.9899535,0.0100465452973717,低比值 (容性主导),薄环流
26,0.12,14.0,0.008571428379229968,6.00000006321119,6.018078,0.018077787130606815,中比值 (过渡区),薄环流
27,0.04,14.8,0.00270270260727892,2.0000003047648285,1.765196,0.23480433899792175,低比值 (容性主导),薄环流
28,0.04,7.0,0.005714285585745149,23.999999797279294,23.65807,0.3419301866835909,中比值 (过渡区),厚环流
29,0.06,12.0,0.004999999887824624,20.00000003883293,19.842226,0.15777401039054695,中比值 (过渡区),厚环流
30,0.02,17.4,0.0011494252867980856,7.999999942434371,7.7747855,0.22521442378813106,低比值 (容性主导),薄环流
31,0.08,19.8,0.004040404105575957,18.000000159609748,17.925737,0.07426277862830233,中比值 (过渡区),厚环流
32,0.1,16.6,0.006024096336510942,21.999999918056112,22.101767,0.10176666824759906,中比值 (过渡区),厚环流
33,0.02,1.2000004,0.01666666065092322,6.00000006321119,5.708559,0.29144102695630725,高比值 (阻性主导),薄环流
34,0.02,19.199999,0.0010416667054175227,2.0000003047648285,1.8768932,0.12310714203747253,低比值 (容性主导),薄环流
35,0.12,6.2,0.019354838869367532,20.00000003883293,19.918865,0.08113483497550789,高比值 (阻性主导),厚环流
36,0.02,9.2,0.0021739130397208976,16.0000000751217,16.240536,0.24053566096228352,低比值 (容性主导),中等环流
37,0.12,19.8,0.006060606158363935,23.999999797279294,23.419111,0.5808885454482393,中比值 (过渡区),厚环流
38,0.04,15.4,0.002597402603517103,2.0000003047648285,1.793935,0.2060653634730194,低比值 (容性主导),薄环流
